
101A English              Period 1
  Daniel Jenkins  (414)
  Elena Singh  (412)
  Elijah Wilson  (451)
  Julian Jenkins  (389)
  Kinsley Driscoll  (419)
  Madelyn Remington  (461)
  Madison Marblemaw  (479)
  Maya Bardot  (420)
  Parker Whitlock  (390)
  Ryan Remington  (499)
  Skylar Finch  (441)
  Sophie Woodgrip  (397)
Student Count 15

401F Speech               Period 4
  Aiden Gorestriker  (444)
  Ava Remington  (423)
  Benjamin Snakeleaf  (478)
  Bennett Laurier  (417)
  Caleb Undergrove  (452)
  Delilah Keller  (376)
  Ella Gannon  (460)
  Isabella Madison  (418)
  Isla Gatlin  (382)
  Jack Madden  (500)
  Jackson Jenkins  (392)
  Jordan Lopez  (405)
  Jordan Woodgrip  (383)
  Lucas Curran  (426)
  Micah West  (433)
  Natalia Gorestriker  (416)
  Waylon Caskcut  (394)
  Wesley Cyprus  (462)
  William Ashley  (406)
  Zoey Hansley  (398)
Student Count 20

401G Speech               Period 1
  Aaliyah Adams  (473)
  Aaron Singh  (467)
  Caleb Lennon  (422)
  Christopher Humblecut  (484)
  Claire Driscoll  (434)
  Elizabeth Windward  (492)
  Gabriel Finch  (380)
  Gianna Solace  (496)
  Harper Bozzelli  (431)
  Jackson Ashley  (465)
  Jackson Truthbelly  (453)
  Josephine Adair  (401)
  Micah Beam  (463)
  Naomi Adams  (481)
  Paisley Hope  (485)
  Penelope Elsher  (395)
  Ryan Zimmerman  (491)
  Santiago Ford  (449)
  Sebastian Caddel  (415)
  Thomas Lightfoot  (399)
Student Count 20

402A Statistics           Period 1
  Autumn Marblemaw  (410)
  Daniel Jenkins  (414)
  Eleanor Singh  (470)
  Ella Gannon  (460)
  Emery Dagon  (439)
  Evelyn Madison  (425)
  Gianna Caddel  (480)
  Grayson Gannon  (490)
  Jackson Kicklighter  (432)
  James Cassidy  (488)
  Jordan Lopez  (405)
  Kennedy Yarrow  (498)
  Kinsley Driscoll  (419)
  Kinsley Windward  (447)
  Leonardo Katz  (437)
  Levi West  (476)
  Lucas Curran  (426)
  Lucas Hope  (468)
  Mateo Hart  (407)
  Sophie Marley  (421)
Student Count 20

402B Statistics           Period 7
  Aaliyah Adams  (473)
  Avery Dustfinger  (455)
  Benjamin Singh  (388)
  Bennett Laurier  (417)
  Caleb Gray  (445)
  Caleb Undergrove  (452)
  Christopher Humblecut  (484)
  Elijah Wilson  (451)
  Gabriel Finch  (380)
  Gabriella Beam  (436)
  Harper Bozzelli  (431)
  Jackson Ashley  (465)
  Jackson Truthbelly  (453)
  Liam Windward  (408)
  Lincoln Elrod  (457)
  Madison Marblemaw  (479)
  Parker Whitlock  (390)
  Raelynn Keller  (483)
  Ruby Adler  (402)
  Willow Crawford  (377)
Student Count 20

402C Statistics           Period 6
  Aaron Singh  (467)
  Ava Remington  (423)
  Delilah Fellowes  (475)
  Dylan Gorestriker  (393)
  Eliana Whitlock  (385)
  Grayson Ashbluff  (430)
  Jackson Laurier  (446)
  James Humblecut  (387)
  Joseph Mintz  (471)
  Josephine Yarrow  (424)
  Julian Jenkins  (389)
  Kai Ashbluff  (391)
  Kennedy Ashbluff  (450)
  Leonardo Sagespark  (454)
  Madelyn Remington  (461)
  Naomi Adams  (481)
  Paisley Hope  (485)
  Paisley Ledger  (381)
  Serenity Lightfoot  (411)
  Sophie Woodgrip  (397)
Student Count 20

402D Statistics           Period 4
  Benjamin Driscoll  (448)
  Brooklyn Ellis  (497)
  Christopher Cyprus  (459)
  Claire Driscoll  (434)
  Gianna Solace  (496)
  Maria Cyprus  (469)
  Nevaeh Cyprus  (494)
  Roman Anderson  (404)
  Sebastian Caddel  (415)
  Skylar Finch  (441)
  Sophia Crawford  (400)
  Thomas Lightfoot  (399)
Student Count 12

402E Statistics           Period 5
  Audrey Lopez  (386)
  Charles Truthbelly  (458)
  Delilah Keller  (376)
  Delilah Vespertine  (443)
  Elena Singh  (412)
  Eli West  (427)
  Elizabeth Windward  (492)
  Ella Fellowes  (486)
  Josephine Adair  (401)
  Kennedy Hansley  (493)
  Lily Hendrix  (384)
  Maya Bardot  (420)
  Ryan Remington  (499)
  Ryan Zimmerman  (491)
  Scarlett Cassidy  (442)
Student Count 15

402F Statistics           Period 2
  Athena Bozzelli  (495)
  Aubrey Kicklighter  (477)
  Ayla James  (489)
  Benjamin Snakeleaf  (478)
  Cameron Beckett  (487)
  Jack Madden  (500)
  Jackson Jenkins  (392)
  Jaxon Yearwood  (403)
  Leo Daughtler  (413)
  Logan Raven  (466)
  Matthew Madison  (440)
  Mia Moses  (438)
  Micah Beam  (463)
  Micah West  (433)
  Santiago Ford  (449)
  Santiago Kicklighter  (409)
  Victoria Gorestriker  (378)
  Waylon Caskcut  (394)
Student Count 18

402G Statistics           Period 3
  Adeline Thatcher  (428)
  Adrian Cromwell  (474)
  Aiden Gorestriker  (444)
  Caleb Lennon  (422)
  Cameron Dawson  (429)
  Charlotte Whitlock  (435)
  Ian Adler  (456)
  Isabella Madison  (418)
  Isla Gatlin  (382)
  John Langley  (464)
  John Lennon  (396)
  Jordan Woodgrip  (383)
  Natalia Gorestriker  (416)
  Penelope Elsher  (395)
  Riley Carter  (472)
  Sophie October  (482)
  Stella Gasper  (379)
  Wesley Cyprus  (462)
  William Ashley  (406)
  Zoey Hansley  (398)
Student Count 20

403A Physics              Period 3
  Benjamin Driscoll  (448)
  Benjamin Singh  (388)
  Delilah Vespertine  (443)
  Elizabeth Windward  (492)
  Emery Dagon  (439)
  Evelyn Madison  (425)
  Gabriel Finch  (380)
  Gianna Solace  (496)
  Grayson Ashbluff  (430)
  Harper Bozzelli  (431)
  Jackson Jenkins  (392)
  Jackson Kicklighter  (432)
  Jackson Truthbelly  (453)
  Josephine Adair  (401)
  Leonardo Sagespark  (454)
  Madelyn Remington  (461)
  Maya Bardot  (420)
  Paisley Ledger  (381)
  Parker Whitlock  (390)
  Ruby Adler  (402)
Student Count 20

403B Physics              Period 7
  Audrey Lopez  (386)
  Benjamin Snakeleaf  (478)
  Daniel Jenkins  (414)
  Eli West  (427)
  Ella Gannon  (460)
  Gianna Caddel  (480)
  Grayson Gannon  (490)
  James Cassidy  (488)
  John Lennon  (396)
  Kennedy Ashbluff  (450)
  Kennedy Yarrow  (498)
  Leo Daughtler  (413)
  Logan Raven  (466)
  Mateo Hart  (407)
  Matthew Madison  (440)
  Natalia Gorestriker  (416)
  Nevaeh Cyprus  (494)
  Santiago Ford  (449)
  Sophie Woodgrip  (397)
  Waylon Caskcut  (394)
Student Count 20

403C Physics              Period 5
  Aaliyah Adams  (473)
  Ayla James  (489)
  Christopher Cyprus  (459)
  Claire Driscoll  (434)
  Eliana Whitlock  (385)
  Isla Gatlin  (382)
  Jack Madden  (500)
  Jaxon Yearwood  (403)
  Julian Jenkins  (389)
  Levi West  (476)
  Lucas Curran  (426)
  Naomi Adams  (481)
  Paisley Hope  (485)
  Santiago Kicklighter  (409)
  Serenity Lightfoot  (411)
  Sophie Marley  (421)
  Stella Gasper  (379)
  William Ashley  (406)
Student Count 18

403D Physics              Period 4
  Aaron Singh  (467)
  Aubrey Kicklighter  (477)
  Cameron Beckett  (487)
  Elijah Wilson  (451)
  Joseph Mintz  (471)
  Kai Ashbluff  (391)
  Kinsley Windward  (447)
  Lincoln Elrod  (457)
  Madison Marblemaw  (479)
  Mia Moses  (438)
  Ryan Remington  (499)
  Ryan Zimmerman  (491)
  Scarlett Cassidy  (442)
  Victoria Gorestriker  (378)
Student Count 14

403E Physics              Period 6
  Adrian Cromwell  (474)
  Athena Bozzelli  (495)
  Avery Dustfinger  (455)
  Cameron Dawson  (429)
  Charles Truthbelly  (458)
  Christopher Humblecut  (484)
  Elena Singh  (412)
  Isabella Madison  (418)
  Jordan Lopez  (405)
  Jordan Woodgrip  (383)
  Kinsley Driscoll  (419)
  Lily Hendrix  (384)
  Lucas Hope  (468)
  Micah Beam  (463)
  Micah West  (433)
  Penelope Elsher  (395)
  Skylar Finch  (441)
  Sophie October  (482)
  Thomas Lightfoot  (399)
  Zoey Hansley  (398)
Student Count 20

403F Physics              Period 1
  Adeline Thatcher  (428)
  Aiden Gorestriker  (444)
  Bennett Laurier  (417)
  Brooklyn Ellis  (497)
  Caleb Gray  (445)
  Delilah Fellowes  (475)
  Gabriella Beam  (436)
  John Langley  (464)
  Kennedy Hansley  (493)
  Liam Windward  (408)
  Raelynn Keller  (483)
  Riley Carter  (472)
  Wesley Cyprus  (462)
Student Count 13

403G Physics              Period 2
  Autumn Marblemaw  (410)
  Ava Remington  (423)
  Caleb Lennon  (422)
  Caleb Undergrove  (452)
  Charlotte Whitlock  (435)
  Delilah Keller  (376)
  Dylan Gorestriker  (393)
  Eleanor Singh  (470)
  Ella Fellowes  (486)
  Ian Adler  (456)
  Jackson Ashley  (465)
  Jackson Laurier  (446)
  James Humblecut  (387)
  Josephine Yarrow  (424)
  Leonardo Katz  (437)
  Maria Cyprus  (469)
  Roman Anderson  (404)
  Sebastian Caddel  (415)
  Sophia Crawford  (400)
  Willow Crawford  (377)
Student Count 20

404A Economics            Period 1
  Adrian Cromwell  (474)
  Audrey Lopez  (386)
  Benjamin Snakeleaf  (478)
  Christopher Cyprus  (459)
  Eli West  (427)
  Grayson Ashbluff  (430)
  Isla Gatlin  (382)
  Kennedy Ashbluff  (450)
  Leonardo Sagespark  (454)
  Lily Hendrix  (384)
  Madelyn Remington  (461)
  Madison Marblemaw  (479)
  Mia Moses  (438)
  Ryan Remington  (499)
  Santiago Kicklighter  (409)
  Scarlett Cassidy  (442)
  Stella Gasper  (379)
  William Ashley  (406)
Student Count 18

404B Economics            Period 4
  Adeline Thatcher  (428)
  Caleb Lennon  (422)
  Charles Truthbelly  (458)
  Daniel Jenkins  (414)
  Dylan Gorestriker  (393)
  Ella Fellowes  (486)
  Gabriel Finch  (380)
  Gabriella Beam  (436)
  Gianna Caddel  (480)
  Ian Adler  (456)
  Jackson Kicklighter  (432)
  John Langley  (464)
  Leo Daughtler  (413)
  Matthew Madison  (440)
  Maya Bardot  (420)
  Paisley Ledger  (381)
  Parker Whitlock  (390)
  Sophie Marley  (421)
  Sophie Woodgrip  (397)
  Willow Crawford  (377)
Student Count 20

404C Economics            Period 7
  Aiden Gorestriker  (444)
  Athena Bozzelli  (495)
  Autumn Marblemaw  (410)
  Ava Remington  (423)
  Benjamin Driscoll  (448)
  James Humblecut  (387)
  Julian Jenkins  (389)
  Kai Ashbluff  (391)
  Kinsley Driscoll  (419)
  Leonardo Katz  (437)
  Lucas Curran  (426)
  Micah Beam  (463)
  Micah West  (433)
  Naomi Adams  (481)
  Riley Carter  (472)
  Roman Anderson  (404)
  Skylar Finch  (441)
  Sophie October  (482)
  Zoey Hansley  (398)
Student Count 19

404D Economics            Period 2
  Avery Dustfinger  (455)
  Bennett Laurier  (417)
  Caleb Gray  (445)
  Cameron Dawson  (429)
  John Lennon  (396)
  Jordan Lopez  (405)
  Josephine Adair  (401)
  Kennedy Hansley  (493)
  Lincoln Elrod  (457)
  Natalia Gorestriker  (416)
  Paisley Hope  (485)
  Ryan Zimmerman  (491)
  Serenity Lightfoot  (411)
  Thomas Lightfoot  (399)
  Wesley Cyprus  (462)
Student Count 15

404E Economics            Period 5
  Brooklyn Ellis  (497)
  Delilah Fellowes  (475)
  Emery Dagon  (439)
  Gianna Solace  (496)
  Harper Bozzelli  (431)
  Isabella Madison  (418)
  Jackson Ashley  (465)
  Jackson Jenkins  (392)
  Jackson Laurier  (446)
  Jordan Woodgrip  (383)
  Josephine Yarrow  (424)
  Kennedy Yarrow  (498)
  Logan Raven  (466)
  Penelope Elsher  (395)
  Santiago Ford  (449)
  Victoria Gorestriker  (378)
Student Count 16

404F Economics            Period 3
  Aaron Singh  (467)
  Ayla James  (489)
  Caleb Undergrove  (452)
  Cameron Beckett  (487)
  Christopher Humblecut  (484)
  Delilah Keller  (376)
  Elena Singh  (412)
  Eliana Whitlock  (385)
  Elijah Wilson  (451)
  Ella Gannon  (460)
  Jack Madden  (500)
  Jaxon Yearwood  (403)
  Joseph Mintz  (471)
  Levi West  (476)
  Lucas Hope  (468)
  Raelynn Keller  (483)
  Sophia Crawford  (400)
  Waylon Caskcut  (394)
Student Count 18

404G Economics            Period 6
  Aaliyah Adams  (473)
  Aubrey Kicklighter  (477)
  Benjamin Singh  (388)
  Charlotte Whitlock  (435)
  Claire Driscoll  (434)
  Delilah Vespertine  (443)
  Eleanor Singh  (470)
  Elizabeth Windward  (492)
  Evelyn Madison  (425)
  Grayson Gannon  (490)
  Jackson Truthbelly  (453)
  James Cassidy  (488)
  Kinsley Windward  (447)
  Liam Windward  (408)
  Maria Cyprus  (469)
  Mateo Hart  (407)
  Nevaeh Cyprus  (494)
  Ruby Adler  (402)
  Sebastian Caddel  (415)
Student Count 19

411A French 4             Period 1
  Benjamin Driscoll  (448)
  Benjamin Singh  (388)
  Caleb Undergrove  (452)
  Delilah Keller  (376)
  Elena Singh  (412)
  Ian Adler  (456)
  Jack Madden  (500)
  Jackson Jenkins  (392)
  John Lennon  (396)
  Josephine Yarrow  (424)
  Matthew Madison  (440)
  Maya Bardot  (420)
  Natalia Gorestriker  (416)
  Roman Anderson  (404)
  Sophia Crawford  (400)
Student Count 15

411B French 4             Period 2
  Adeline Thatcher  (428)
  Aiden Gorestriker  (444)
  Christopher Humblecut  (484)
  Elizabeth Windward  (492)
  Ella Gannon  (460)
  Gabriel Finch  (380)
  Gabriella Beam  (436)
  Gianna Caddel  (480)
  Gianna Solace  (496)
  Jackson Kicklighter  (432)
  James Cassidy  (488)
  John Langley  (464)
  Levi West  (476)
  Liam Windward  (408)
  Lily Hendrix  (384)
  Lucas Hope  (468)
  Riley Carter  (472)
Student Count 17

412A Spanish 4            Period 7
  Delilah Keller  (376)
  Elena Singh  (412)
  Elizabeth Windward  (492)
  Gianna Solace  (496)
  Ian Adler  (456)
  Jack Madden  (500)
  Jackson Jenkins  (392)
  Jackson Kicklighter  (432)
  John Langley  (464)
  Josephine Yarrow  (424)
  Levi West  (476)
  Lily Hendrix  (384)
  Lucas Hope  (468)
  Maya Bardot  (420)
Student Count 14

412B Spanish 4            Period 5
  Adeline Thatcher  (428)
  Aiden Gorestriker  (444)
  Benjamin Driscoll  (448)
  Benjamin Singh  (388)
  Caleb Undergrove  (452)
  Christopher Humblecut  (484)
  Ella Gannon  (460)
  Gabriel Finch  (380)
  Gabriella Beam  (436)
  Gianna Caddel  (480)
  James Cassidy  (488)
  John Lennon  (396)
  Liam Windward  (408)
  Matthew Madison  (440)
  Natalia Gorestriker  (416)
  Riley Carter  (472)
  Roman Anderson  (404)
  Sophia Crawford  (400)
Student Count 18

413A Latin 4              Period 6
  Adeline Thatcher  (428)
  Aiden Gorestriker  (444)
  Benjamin Driscoll  (448)
  Caleb Undergrove  (452)
  Delilah Keller  (376)
  Ella Gannon  (460)
  Gabriel Finch  (380)
  Gabriella Beam  (436)
  Gianna Caddel  (480)
  Gianna Solace  (496)
  Ian Adler  (456)
  Jack Madden  (500)
  Jackson Jenkins  (392)
  Jackson Kicklighter  (432)
  John Langley  (464)
  Matthew Madison  (440)
  Maya Bardot  (420)
  Natalia Gorestriker  (416)
  Roman Anderson  (404)
  Sophia Crawford  (400)
Student Count 20

413B Latin 4              Period 4
  Benjamin Singh  (388)
  Christopher Humblecut  (484)
  Elena Singh  (412)
  Elizabeth Windward  (492)
  James Cassidy  (488)
  John Lennon  (396)
  Josephine Yarrow  (424)
  Levi West  (476)
  Liam Windward  (408)
  Lily Hendrix  (384)
  Lucas Hope  (468)
  Riley Carter  (472)
Student Count 12

501A Phys Ed              Period 5
  Alice Gasper  (46)
  Aurora Spade  (139)
  Bennett Laurier  (417)
  Cora Gray  (336)
  Elena Moses  (199)
  Elena Poverly  (356)
  Isabella Windward  (364)
  Ivy Beam  (30)
  Jackson Truthbelly  (453)
  John Verlice  (106)
  Leah Gray  (102)
  Levi Bardot  (219)
  Lincoln Elrod  (457)
  Naomi Mintz  (215)
  Owen Remington  (151)
  Paisley Ledger  (381)
  Santiago Thatcher  (6)
  Skylar Finch  (441)
  Sophie Woodgrip  (397)
  Theodore Lightfoot  (118)
Student Count 20

501B Phys Ed              Period 7
  Aaron Sharpe  (2)
  Bennett Sagespark  (231)
  Brooklyn Ellis  (497)
  Dylan Gorestriker  (393)
  Emery Langley  (300)
  Evelyn Madison  (425)
  James Lopez  (34)
  Liliana Carter  (171)
  Lucas Dagon  (360)
  Madelyn Remington  (461)
  Maria Cyprus  (469)
  Micah Madison  (66)
  Nathan Sagespark  (264)
  Raelynn Caskcut  (191)
  Sophia Truthbelly  (42)
Student Count 15

501C Phys Ed              Period 1
  Asher Madden  (316)
  Aubrey Kicklighter  (477)
  Ayla James  (489)
  Carter Wixx  (90)
  Eli Kicklighter  (147)
  Isla Lopez  (276)
  Jack Gonzales  (175)
  Josiah Raven  (70)
  Mia Cassidy  (312)
  Micah West  (433)
  Noah Ashford  (348)
  Skylar Lightfoot  (256)
  Willow Crawford  (377)
  Xavier Hendrix  (211)
Student Count 14

501D Phys Ed              Period 4
  Axel Adler  (78)
  Ayla James  (18)
  Brooks Marley  (195)
  Caleb Gray  (445)
  Cameron Dawson  (429)
  Caroline Ashbluff  (332)
  Cora Beam  (268)
  Cora Wilson  (292)
  Eliana Whitlock  (385)
  Ezra Spade  (324)
  Grace James  (372)
  Hudson Bardot  (10)
  Mason Laurier  (82)
  Paisley Hope  (308)
  Quinn Hayes  (122)
  Santiago Ford  (449)
  Santiago Kicklighter  (409)
  Serenity Carter  (135)
  Sophie Amos  (62)
  Theo Hendrix  (94)
Student Count 20

501E Phys Ed              Period 6
  Anna Remington  (288)
  Daniel Crassus  (340)
  Greyson Beam  (252)
  Hannah Laurier  (86)
  Ian Crassus  (272)
  Jackson Ashley  (465)
  Jayden Beam  (203)
  Jonathan Gray  (159)
  Josephine Adair  (401)
  Leo Daughtler  (413)
  Maria Carter  (54)
  Mateo Beckett  (167)
  Nova Gonzales  (58)
  Owen Madden  (223)
  Walker Sharpe  (155)
Student Count 15

501F Phys Ed              Period 2
  Adam Finch  (320)
  Adam Lopez  (207)
  Andrew West  (98)
  Anthony Adams  (114)
  Athena Gonzales  (239)
  Benjamin Cyprus  (127)
  Brooks Gasper  (235)
  Chloe Adler  (163)
  Colton Ellis  (284)
  Eleanor Hendrix  (243)
  Henry Marblemaw  (296)
  Isaiah Oatrun  (328)
  John Curran  (368)
  Josiah Biddercombe  (14)
  Julian Gasper  (110)
  Luca Remington  (344)
  Lydia Gasper  (143)
  Nora Dagon  (26)
  Nora Gorestriker  (131)
  Weston Hansley  (183)
Student Count 20

501G Phys Ed              Period 3
  Aaliyah Adams  (473)
  Andrew Elsher  (260)
  Beau Ashford  (247)
  Cooper Carter  (179)
  Cora Hansley  (187)
  Hannah Crawford  (74)
  Jordan Lopez  (405)
  Julian Jenkins  (389)
  Kennedy Hansley  (493)
  Leonardo Katz  (437)
  Madison Gatlin  (38)
  Mia Gatlin  (352)
  Mia Humblecut  (22)
  Naomi Adams  (481)
  Paisley Hope  (485)
  Penelope Daughtler  (227)
  Penelope Truthbelly  (280)
  Sophie Marley  (421)
  Waylon Biddercombe  (304)
  Waylon Remington  (50)
Student Count 20

502A Health               Period 2
  Alice Gasper  (46)
  Asher Madden  (316)
  Brooklyn Ellis  (497)
  Brooks Marley  (195)
  Carter Wixx  (90)
  Ezra Spade  (324)
  Isabella Windward  (364)
  Ivy Beam  (30)
  Jackson Truthbelly  (453)
  Jayden Beam  (203)
  Mason Laurier  (82)
  Mia Cassidy  (312)
  Micah Madison  (66)
  Nathan Sagespark  (264)
  Owen Madden  (223)
  Paisley Hope  (308)
  Skylar Lightfoot  (256)
Student Count 17

502B Health               Period 7
  Adam Finch  (320)
  Anna Remington  (288)
  Aubrey Kicklighter  (477)
  Aurora Spade  (139)
  Cooper Carter  (179)
  Cora Gray  (336)
  Elena Poverly  (356)
  Eli Kicklighter  (147)
  Isla Lopez  (276)
  Jonathan Gray  (159)
  Jordan Lopez  (405)
  Kennedy Hansley  (493)
  Luca Remington  (344)
  Maria Carter  (54)
  Noah Ashford  (348)
  Paisley Hope  (485)
  Penelope Truthbelly  (280)
  Walker Sharpe  (155)
Student Count 18

502C Health               Period 4
  Aaliyah Adams  (473)
  Aaron Sharpe  (2)
  Anthony Adams  (114)
  Beau Ashford  (247)
  Benjamin Cyprus  (127)
  Bennett Sagespark  (231)
  Daniel Crassus  (340)
  Evelyn Madison  (425)
  Greyson Beam  (252)
  Ian Crassus  (272)
  Jack Gonzales  (175)
  Jackson Ashley  (465)
  James Lopez  (34)
  Josephine Adair  (401)
  Josiah Raven  (70)
  Julian Gasper  (110)
  Julian Jenkins  (389)
  Naomi Adams  (481)
  Nova Gonzales  (58)
  Waylon Remington  (50)
Student Count 20

502D Health               Period 6
  Adam Lopez  (207)
  Andrew Elsher  (260)
  Andrew West  (98)
  Axel Adler  (78)
  Ayla James  (489)
  Bennett Laurier  (417)
  Caroline Ashbluff  (332)
  Henry Marblemaw  (296)
  Isaiah Oatrun  (328)
  John Curran  (368)
  Leah Gray  (102)
  Levi Bardot  (219)
  Naomi Mintz  (215)
  Penelope Daughtler  (227)
  Santiago Ford  (449)
  Santiago Kicklighter  (409)
  Sophie Marley  (421)
  Theo Hendrix  (94)
  Weston Hansley  (183)
Student Count 19

502E Health               Period 1
  Ayla James  (18)
  Brooks Gasper  (235)
  Cora Hansley  (187)
  Elena Moses  (199)
  Eliana Whitlock  (385)
  Hudson Bardot  (10)
  John Verlice  (106)
  Lincoln Elrod  (457)
  Maria Cyprus  (469)
  Mia Gatlin  (352)
  Mia Humblecut  (22)
  Paisley Ledger  (381)
  Quinn Hayes  (122)
  Serenity Carter  (135)
  Skylar Finch  (441)
  Sophia Truthbelly  (42)
  Sophie Woodgrip  (397)
  Waylon Biddercombe  (304)
Student Count 18

502F Health               Period 5
  Cameron Dawson  (429)
  Dylan Gorestriker  (393)
  Hannah Crawford  (74)
  Josiah Biddercombe  (14)
  Leo Daughtler  (413)
  Leonardo Katz  (437)
  Madelyn Remington  (461)
  Madison Gatlin  (38)
  Mateo Beckett  (167)
  Micah West  (433)
  Raelynn Caskcut  (191)
  Xavier Hendrix  (211)
Student Count 12

502G Health               Period 3
  Athena Gonzales  (239)
  Caleb Gray  (445)
  Chloe Adler  (163)
  Colton Ellis  (284)
  Cora Beam  (268)
  Cora Wilson  (292)
  Eleanor Hendrix  (243)
  Emery Langley  (300)
  Grace James  (372)
  Hannah Laurier  (86)
  Liliana Carter  (171)
  Lucas Dagon  (360)
  Lydia Gasper  (143)
  Nora Dagon  (26)
  Nora Gorestriker  (131)
  Owen Remington  (151)
  Santiago Thatcher  (6)
  Sophie Amos  (62)
  Theodore Lightfoot  (118)
  Willow Crawford  (377)
Student Count 20

503A Fine Art             Period 1
  Anna Madden  (329)
  Anthony Gannon  (128)
  Aubrey James  (216)
  Ella Thatcher  (305)
  Gabriel Undergrove  (277)
  Hudson Gonzales  (365)
  James Curran  (196)
  Jordan Vespertine  (232)
  Landon Ashbluff  (265)
  Luna Finch  (23)
  Maya Ashbluff  (160)
  Nevaeh Cyprus  (494)
  Nolan Finch  (119)
  Ruby Adler  (402)
  Victoria Gorestriker  (378)
  Waylon Caskcut  (394)
  Zoey Gorestriker  (248)
  Zoey Hansley  (398)
Student Count 18

503B Fine Art             Period 4
  Caroline Wixx  (361)
  Everleigh Gray  (224)
  Ivy Solace  (144)
  Jack Raven  (55)
  Jordan Keller  (107)
  Lillian Fleet  (132)
  Logan Raven  (466)
  Noah Marley  (67)
  Scarlett Dawson  (63)
Student Count 9

503C Fine Art             Period 6
  Adrian Lennon  (7)
  Angel Gorestriker  (140)
  Anna Beckett  (341)
  Audrey Lopez  (386)
  Caleb Lennon  (422)
  David Lennon  (123)
  Genesis Humblecut  (47)
  Isla Gatlin  (382)
  Joshua Yearwood  (204)
  Kennedy Yarrow  (498)
  Kinsley Truthbelly  (345)
  Lincoln Adams  (353)
  Lucas Pierce  (321)
  Maria Caddel  (19)
  Maverick Thatcher  (192)
  Micah Hansley  (337)
  Oliver Ashbluff  (240)
  Ryan Poverly  (176)
Student Count 18

503D Fine Art             Period 3
  Adeline Hydrafist  (212)
  Aiden Caskcut  (103)
  Benjamin Snakeleaf  (478)
  Charles Ledger  (261)
  Charles Truthbelly  (458)
  Charlotte Gasper  (208)
  Daniel Jenkins  (414)
  Delilah Crassus  (293)
  Everett Levine  (83)
  Gabriel Ford  (71)
  Jackson Laurier  (446)
  Joseph Hansley  (51)
  Joseph Stoll  (39)
  Mateo Jenkins  (200)
  Mia Moses  (438)
  Olivia Adler  (99)
  Parker Undergrove  (156)
  Riley Madden  (152)
  Savannah Hope  (313)
  Zoey Beam  (236)
Student Count 20

503E Fine Art             Period 7
  Anna Spade  (172)
  Athena Woodgrip  (168)
  Autumn Stoll  (11)
  Bella Poverly  (309)
  Bennett Sharpe  (289)
  Easton Vespertine  (257)
  Ella Fellowes  (486)
  Ian Poverly  (75)
  Isabella Madison  (418)
  Jack Beckett  (228)
  Lydia Undergrove  (95)
  Nevaeh Hayes  (253)
  Nicholas Gatlin  (325)
  Nicholas Lennon  (273)
  Scarlett Cassidy  (442)
  Theo Caskcut  (285)
  Walker Lightfoot  (115)
  Wesley Cyprus  (462)
  Wyatt Monroe  (31)
Student Count 19

503F Fine Art             Period 5
  Adrian Cromwell  (474)
  Autumn Marblemaw  (410)
  Autumn Yearwood  (59)
  Caleb Gray  (301)
  Daniel Beckett  (220)
  Eleanor Singh  (470)
  Emilia Ashbluff  (373)
  Grayson Gannon  (490)
  Isaac Whitlock  (27)
  Julian Undergrove  (180)
  Leonardo Ashbluff  (111)
  Luke Gorestriker  (297)
  Maverick Spade  (136)
  Maya James  (188)
  Michael McKenna  (35)
  Natalie West  (91)
  Parker Whitlock  (390)
  Ryan Elrod  (164)
  Theo Jenkins  (317)
  Walker Wixx  (15)
Student Count 20

503G Fine Art             Period 2
  Brooks Poverly  (357)
  Claire Driscoll  (434)
  Grayson Ashbluff  (430)
  Jaxon Moses  (349)
  Joseph Gray  (3)
  Kennedy Ashbluff  (450)
  Leonardo Sagespark  (454)
  Lucas Curran  (426)
  Lydia Dustfinger  (148)
  Madelyn Jenkins  (244)
  Mila Crassus  (184)
  Nicholas Undergrove  (281)
  Oliver Gasper  (43)
  Samuel Adair  (333)
  Serenity Ashley  (87)
  Sophie Humblecut  (79)
  Sophie October  (482)
  Valentina Mintz  (269)
  Violet Elrod  (369)
  William Ashley  (406)
Student Count 20

504A Computer             Period 6
  Anna Spade  (172)
  Anthony Gannon  (128)
  Benjamin Snakeleaf  (478)
  Caleb Gray  (301)
  Daniel Jenkins  (414)
  Easton Vespertine  (257)
  Ivy Solace  (144)
  Joseph Stoll  (39)
  Julian Undergrove  (180)
  Lucas Curran  (426)
  Madelyn Jenkins  (244)
  Noah Marley  (67)
  Parker Whitlock  (390)
  Scarlett Cassidy  (442)
  Sophie Humblecut  (79)
  Victoria Gorestriker  (378)
  Violet Elrod  (369)
  Wesley Cyprus  (462)
Student Count 18

504B Computer             Period 1
  Adeline Hydrafist  (212)
  Brooks Poverly  (357)
  David Lennon  (123)
  Everett Levine  (83)
  Genesis Humblecut  (47)
  Ian Poverly  (75)
  Jordan Keller  (107)
  Lincoln Adams  (353)
  Lucas Pierce  (321)
  Mateo Jenkins  (200)
  Oliver Gasper  (43)
  Olivia Adler  (99)
  Parker Undergrove  (156)
  Sophie October  (482)
  Theo Jenkins  (317)
  Wyatt Monroe  (31)
  Zoey Beam  (236)
Student Count 17

504C Computer             Period 4
  Adrian Cromwell  (474)
