
101A English              Period 4
  Roman Anderson  (404)
  Santiago Kicklighter  (409)
  Serenity Lightfoot  (411)
  Sophia Crawford  (400)
  Sophie Marley  (421)
  Sophie October  (482)
  Sophie Woodgrip  (397)
Student Count 20

401F Speech               Period 3
  Aaliyah Adams  (473)
  Audrey Lopez  (386)
  Brooklyn Ellis  (497)
  Cameron Dawson  (429)
  Charles Truthbelly  (458)
  Claire Driscoll  (434)
  Daniel Jenkins  (414)
  Elizabeth Windward  (492)
  Evelyn Madison  (425)
  Gabriel Finch  (380)
  Jackson Jenkins  (392)
  John Langley  (464)
  Leonardo Katz  (437)
  Lucas Hope  (468)
  Nevaeh Cyprus  (494)
  Penelope Elsher  (395)
  Raelynn Keller  (483)
  Thomas Lightfoot  (399)
  Zoey Hansley  (398)
Student Count 19

401G Speech               Period 7
  Adeline Thatcher  (428)
  Benjamin Singh  (388)
  Caleb Gray  (445)
  Christopher Humblecut  (484)
  Delilah Fellowes  (475)
  Eliana Whitlock  (385)
  Elijah Wilson  (451)
  Harper Bozzelli  (431)
  James Humblecut  (387)
  Lincoln Elrod  (457)
  Mateo Hart  (407)
  Matthew Madison  (440)
  Mia Moses  (438)
  Paisley Hope  (485)
  Victoria Gorestriker  (378)
  William Ashley  (406)
  Willow Crawford  (377)
Student Count 17

402A Statistics           Period 1
  Aiden Gorestriker  (444)
  Ava Remington  (423)
  Delilah Fellowes  (475)
  Eli West  (427)
  Ella Fellowes  (486)
  Emery Dagon  (439)
  Gianna Solace  (496)
  Grayson Ashbluff  (430)
  John Langley  (464)
  Joseph Mintz  (471)
  Kennedy Ashbluff  (450)
  Leonardo Katz  (437)
  Levi West  (476)
  Lily Hendrix  (384)
  Mia Moses  (438)
  Riley Carter  (472)
  Victoria Gorestriker  (378)
Student Count 17

402B Statistics           Period 4
  Adeline Thatcher  (428)
  Avery Dustfinger  (455)
  Brooklyn Ellis  (497)
  Caleb Gray  (445)
  Cameron Dawson  (429)
  Daniel Jenkins  (414)
  Evelyn Madison  (425)
  Ian Adler  (456)
  Jackson Ashley  (465)
  James Humblecut  (387)
  Julian Jenkins  (389)
  Madelyn Remington  (461)
  Parker Whitlock  (390)
  Raelynn Keller  (483)
  Roman Anderson  (404)
  Scarlett Cassidy  (442)
  Sophie Marley  (421)
  Wesley Cyprus  (462)
  William Ashley  (406)
  Zoey Hansley  (398)
Student Count 20

402C Statistics           Period 6
  Audrey Lopez  (386)
  Ayla James  (489)
  Caleb Lennon  (422)
  Christopher Cyprus  (459)
  Elijah Wilson  (451)
  Isla Gatlin  (382)
  Jordan Woodgrip  (383)
  Kai Ashbluff  (391)
  Kennedy Hansley  (493)
  Lincoln Elrod  (457)
  Mateo Hart  (407)
  Matthew Madison  (440)
  Paisley Hope  (485)
  Ryan Remington  (499)
  Ryan Zimmerman  (491)
  Santiago Kicklighter  (409)
  Serenity Lightfoot  (411)
  Sophie October  (482)
Student Count 18

402D Statistics           Period 3
  Aubrey Kicklighter  (477)
  Autumn Marblemaw  (410)
  Benjamin Singh  (388)
  Caleb Undergrove  (452)
  Delilah Keller  (376)
  Harper Bozzelli  (431)
  Jaxon Yearwood  (403)
  Kennedy Yarrow  (498)
  Leo Daughtler  (413)
  Naomi Adams  (481)
  Waylon Caskcut  (394)
Student Count 11

402E Statistics           Period 7
  Aaliyah Adams  (473)
  Aaron Singh  (467)
  Adrian Cromwell  (474)
  Benjamin Driscoll  (448)
  Cameron Beckett  (487)
  Charles Truthbelly  (458)
  Charlotte Whitlock  (435)
  Elena Singh  (412)
  Elizabeth Windward  (492)
  Jackson Jenkins  (392)
  Jackson Truthbelly  (453)
  Lucas Hope  (468)
  Madison Marblemaw  (479)
  Maria Cyprus  (469)
  Micah West  (433)
  Natalia Gorestriker  (416)
  Skylar Finch  (441)
  Sophia Crawford  (400)
  Sophie Woodgrip  (397)
Student Count 19

402F Statistics           Period 2
  Athena Bozzelli  (495)
  Dylan Gorestriker  (393)
  Eleanor Singh  (470)
  Gianna Caddel  (480)
  Grayson Gannon  (490)
  Isabella Madison  (418)
  Jack Madden  (500)
  Jackson Laurier  (446)
  Jordan Lopez  (405)
  Kinsley Driscoll  (419)
  Kinsley Windward  (447)
  Leonardo Sagespark  (454)
  Maya Bardot  (420)
  Micah Beam  (463)
  Nevaeh Cyprus  (494)
  Penelope Elsher  (395)
  Ruby Adler  (402)
  Stella Gasper  (379)
  Thomas Lightfoot  (399)
  Willow Crawford  (377)
Student Count 20

402G Statistics           Period 5
  Benjamin Snakeleaf  (478)
  Bennett Laurier  (417)
  Christopher Humblecut  (484)
  Claire Driscoll  (434)
  Delilah Vespertine  (443)
  Eliana Whitlock  (385)
  Ella Gannon  (460)
  Gabriel Finch  (380)
  Gabriella Beam  (436)
  Jackson Kicklighter  (432)
  James Cassidy  (488)
  John Lennon  (396)
  Josephine Adair  (401)
  Josephine Yarrow  (424)
  Liam Windward  (408)
  Logan Raven  (466)
  Lucas Curran  (426)
  Paisley Ledger  (381)
  Santiago Ford  (449)
  Sebastian Caddel  (415)
Student Count 20

403A Physics              Period 5
  Adeline Thatcher  (428)
  Aubrey Kicklighter  (477)
  Ayla James  (489)
  Caleb Gray  (445)
  Charles Truthbelly  (458)
  Daniel Jenkins  (414)
  Elizabeth Windward  (492)
  Ella Fellowes  (486)
  Gianna Solace  (496)
  Grayson Gannon  (490)
  John Langley  (464)
  Kennedy Hansley  (493)
  Levi West  (476)
  Lucas Hope  (468)
  Maya Bardot  (420)
  Naomi Adams  (481)
  Penelope Elsher  (395)
  Raelynn Keller  (483)
  Scarlett Cassidy  (442)
  Wesley Cyprus  (462)
Student Count 20

403B Physics              Period 7
  Autumn Marblemaw  (410)
  Avery Dustfinger  (455)
  Cameron Dawson  (429)
  Eleanor Singh  (470)
  Emery Dagon  (439)
  Gianna Caddel  (480)
  Isabella Madison  (418)
  Jack Madden  (500)
  Kinsley Driscoll  (419)
  Madelyn Remington  (461)
  Nevaeh Cyprus  (494)
  Roman Anderson  (404)
  Sophie Marley  (421)
  Zoey Hansley  (398)
Student Count 14

403C Physics              Period 4
  Aiden Gorestriker  (444)
  Ava Remington  (423)
  Benjamin Singh  (388)
  Benjamin Snakeleaf  (478)
  Charlotte Whitlock  (435)
  Delilah Vespertine  (443)
  Eliana Whitlock  (385)
  Harper Bozzelli  (431)
  Jackson Jenkins  (392)
  Jordan Woodgrip  (383)
  Kai Ashbluff  (391)
  Lily Hendrix  (384)
  Logan Raven  (466)
  Mateo Hart  (407)
  Natalia Gorestriker  (416)
  Santiago Kicklighter  (409)
  Serenity Lightfoot  (411)
  Sophie October  (482)
  Thomas Lightfoot  (399)
  Willow Crawford  (377)
Student Count 20

403D Physics              Period 2
  Aaron Singh  (467)
  Audrey Lopez  (386)
  Bennett Laurier  (417)
  Brooklyn Ellis  (497)
  Gabriel Finch  (380)
  Jackson Kicklighter  (432)
  John Lennon  (396)
  Joseph Mintz  (471)
  Leo Daughtler  (413)
  Madison Marblemaw  (479)
  Matthew Madison  (440)
  Mia Moses  (438)
  Paisley Hope  (485)
  Ryan Zimmerman  (491)
  Sebastian Caddel  (415)
  Skylar Finch  (441)
  Sophie Woodgrip  (397)
Student Count 17

403E Physics              Period 1
  Caleb Undergrove  (452)
  Claire Driscoll  (434)
  Delilah Keller  (376)
  Elijah Wilson  (451)
  Evelyn Madison  (425)
  Gabriella Beam  (436)
  Ian Adler  (456)
  Isla Gatlin  (382)
  Jackson Truthbelly  (453)
  James Humblecut  (387)
  Jaxon Yearwood  (403)
  Jordan Lopez  (405)
  Josephine Yarrow  (424)
  Leonardo Sagespark  (454)
  Lincoln Elrod  (457)
  Micah West  (433)
  Paisley Ledger  (381)
  Stella Gasper  (379)
  Waylon Caskcut  (394)
  William Ashley  (406)
Student Count 20

403F Physics              Period 6
  Aaliyah Adams  (473)
  Adrian Cromwell  (474)
  Benjamin Driscoll  (448)
  Christopher Humblecut  (484)
  Delilah Fellowes  (475)
  Dylan Gorestriker  (393)
  Eli West  (427)
  Ella Gannon  (460)
  Julian Jenkins  (389)
  Kennedy Ashbluff  (450)
  Kennedy Yarrow  (498)
  Kinsley Windward  (447)
  Leonardo Katz  (437)
  Liam Windward  (408)
  Lucas Curran  (426)
  Maria Cyprus  (469)
  Parker Whitlock  (390)
  Riley Carter  (472)
  Sophia Crawford  (400)
  Victoria Gorestriker  (378)
Student Count 20

403G Physics              Period 3
  Athena Bozzelli  (495)
  Caleb Lennon  (422)
  Cameron Beckett  (487)
  Christopher Cyprus  (459)
  Elena Singh  (412)
  Grayson Ashbluff  (430)
  Jackson Ashley  (465)
  Jackson Laurier  (446)
  James Cassidy  (488)
  Josephine Adair  (401)
  Micah Beam  (463)
  Ruby Adler  (402)
  Ryan Remington  (499)
  Santiago Ford  (449)
Student Count 14

404A Economics            Period 5
  Benjamin Singh  (388)
  Caleb Undergrove  (452)
  Cameron Beckett  (487)
  Delilah Keller  (376)
  Dylan Gorestriker  (393)
  Elijah Wilson  (451)
  Emery Dagon  (439)
  Evelyn Madison  (425)
  Ian Adler  (456)
  Isla Gatlin  (382)
  Jack Madden  (500)
  Jackson Jenkins  (392)
  Kinsley Driscoll  (419)
  Leonardo Katz  (437)
  Leonardo Sagespark  (454)
  Madison Marblemaw  (479)
  Matthew Madison  (440)
  Nevaeh Cyprus  (494)
  Riley Carter  (472)
  Zoey Hansley  (398)
Student Count 20

404B Economics            Period 2
  Adrian Cromwell  (474)
  Caleb Gray  (445)
  Cameron Dawson  (429)
  Charles Truthbelly  (458)
  Christopher Cyprus  (459)
  Delilah Fellowes  (475)
  Elena Singh  (412)
  Gianna Solace  (496)
  Jaxon Yearwood  (403)
  John Langley  (464)
  Josephine Adair  (401)
  Kennedy Hansley  (493)
  Kennedy Yarrow  (498)
  Lincoln Elrod  (457)
  Lucas Curran  (426)
  Lucas Hope  (468)
  Paisley Ledger  (381)
  Sophia Crawford  (400)
  Victoria Gorestriker  (378)
  Waylon Caskcut  (394)
Student Count 20

404C Economics            Period 7
  Athena Bozzelli  (495)
  Audrey Lopez  (386)
  Ava Remington  (423)
  Ayla James  (489)
  Caleb Lennon  (422)
  Ella Gannon  (460)
  Gabriel Finch  (380)
  Jackson Laurier  (446)
  Jordan Lopez  (405)
  Parker Whitlock  (390)
  Raelynn Keller  (483)
  Ruby Adler  (402)
  Ryan Zimmerman  (491)
  Santiago Kicklighter  (409)
  Serenity Lightfoot  (411)
  Wesley Cyprus  (462)
Student Count 16

404D Economics            Period 4
  Aaliyah Adams  (473)
  Benjamin Driscoll  (448)
  Bennett Laurier  (417)
  Christopher Humblecut  (484)
  Eli West  (427)
  Elizabeth Windward  (492)
  Ella Fellowes  (486)
  James Cassidy  (488)
  Joseph Mintz  (471)
  Kennedy Ashbluff  (450)
  Liam Windward  (408)
  Maria Cyprus  (469)
  Paisley Hope  (485)
  Penelope Elsher  (395)
Student Count 14

404E Economics            Period 3
  Adeline Thatcher  (428)
  Avery Dustfinger  (455)
  Charlotte Whitlock  (435)
  Delilah Vespertine  (443)
  Eleanor Singh  (470)
  Eliana Whitlock  (385)
  Gabriella Beam  (436)
  Isabella Madison  (418)
  Jordan Woodgrip  (383)
  Josephine Yarrow  (424)
  Julian Jenkins  (389)
  Kai Ashbluff  (391)
  Lily Hendrix  (384)
  Micah West  (433)
  Natalia Gorestriker  (416)
  Skylar Finch  (441)
  Sophie Marley  (421)
  Sophie Woodgrip  (397)
  Stella Gasper  (379)
  William Ashley  (406)
Student Count 20

404F Economics            Period 6
  Aiden Gorestriker  (444)
  Aubrey Kicklighter  (477)
  Benjamin Snakeleaf  (478)
  Claire Driscoll  (434)
  Gianna Caddel  (480)
  Grayson Ashbluff  (430)
  Grayson Gannon  (490)
  Jackson Ashley  (465)
  Jackson Truthbelly  (453)
  James Humblecut  (387)
  John Lennon  (396)
  Levi West  (476)
  Logan Raven  (466)
  Maya Bardot  (420)
  Mia Moses  (438)
  Micah Beam  (463)
  Roman Anderson  (404)
  Santiago Ford  (449)
  Sebastian Caddel  (415)
  Willow Crawford  (377)
Student Count 20

404G Economics            Period 1
  Aaron Singh  (467)
  Autumn Marblemaw  (410)
  Brooklyn Ellis  (497)
  Daniel Jenkins  (414)
  Harper Bozzelli  (431)
  Jackson Kicklighter  (432)
  Kinsley Windward  (447)
  Leo Daughtler  (413)
  Madelyn Remington  (461)
  Mateo Hart  (407)
  Naomi Adams  (481)
  Ryan Remington  (499)
  Scarlett Cassidy  (442)
  Sophie October  (482)
  Thomas Lightfoot  (399)
Student Count 15

411A French 4             Period 7
  Aiden Gorestriker  (444)
  Caleb Undergrove  (452)
  Delilah Keller  (376)
  Gabriella Beam  (436)
  Gianna Solace  (496)
  Ian Adler  (456)
  Jackson Kicklighter  (432)
  James Cassidy  (488)
  John Langley  (464)
  John Lennon  (396)
  Josephine Yarrow  (424)
  Levi West  (476)
  Liam Windward  (408)
  Lily Hendrix  (384)
  Maya Bardot  (420)
  Riley Carter  (472)
Student Count 16

411B French 4             Period 1
  Adeline Thatcher  (428)
  Benjamin Driscoll  (448)
  Benjamin Singh  (388)
  Christopher Humblecut  (484)
  Elena Singh  (412)
  Elizabeth Windward  (492)
  Ella Gannon  (460)
  Gabriel Finch  (380)
  Gianna Caddel  (480)
  Jack Madden  (500)
  Jackson Jenkins  (392)
  Lucas Hope  (468)
  Matthew Madison  (440)
  Natalia Gorestriker  (416)
  Roman Anderson  (404)
  Sophia Crawford  (400)
Student Count 16

412A Spanish 4            Period 6
  Adeline Thatcher  (428)
  Benjamin Singh  (388)
  Caleb Undergrove  (452)
  Delilah Keller  (376)
  Elena Singh  (412)
  Elizabeth Windward  (492)
  Gabriel Finch  (380)
  Gabriella Beam  (436)
  Jackson Jenkins  (392)
  James Cassidy  (488)
  John Langley  (464)
  Josephine Yarrow  (424)
  Lily Hendrix  (384)
  Lucas Hope  (468)
  Natalia Gorestriker  (416)
Student Count 15

412B Spanish 4            Period 3
  Aiden Gorestriker  (444)
  Benjamin Driscoll  (448)
  Christopher Humblecut  (484)
  Ella Gannon  (460)
  Gianna Caddel  (480)
  Gianna Solace  (496)
  Ian Adler  (456)
  Jack Madden  (500)
  Jackson Kicklighter  (432)
  John Lennon  (396)
  Levi West  (476)
  Liam Windward  (408)
  Matthew Madison  (440)
  Maya Bardot  (420)
  Riley Carter  (472)
  Roman Anderson  (404)
  Sophia Crawford  (400)
Student Count 17

413A Latin 4              Period 2
  Adeline Thatcher  (428)
  Aiden Gorestriker  (444)
  Benjamin Driscoll  (448)
  Benjamin Singh  (388)
  Christopher Humblecut  (484)
  Delilah Keller  (376)
  Elizabeth Windward  (492)
  Ian Adler  (456)
  Jackson Jenkins  (392)
  James Cassidy  (488)
  Josephine Yarrow  (424)
  Liam Windward  (408)
  Lily Hendrix  (384)
  Natalia Gorestriker  (416)
  Riley Carter  (472)
  Roman Anderson  (404)
Student Count 16

413B Latin 4              Period 4
  Caleb Undergrove  (452)
  Elena Singh  (412)
  Ella Gannon  (460)
  Gabriel Finch  (380)
  Gabriella Beam  (436)
  Gianna Caddel  (480)
  Gianna Solace  (496)
  Jack Madden  (500)
  Jackson Kicklighter  (432)
  John Langley  (464)
  John Lennon  (396)
  Levi West  (476)
  Lucas Hope  (468)
  Matthew Madison  (440)
  Maya Bardot  (420)
  Sophia Crawford  (400)
Student Count 16

501A Phys Ed              Period 6
  Anthony Adams  (114)
  Ayla James  (18)
  Brooks Gasper  (235)
  Colton Ellis  (284)
  Grace James  (372)
  Greyson Beam  (252)
  Hannah Laurier  (86)
  Jack Gonzales  (175)
  Jordan Lopez  (405)
  Josiah Biddercombe  (14)
  Liliana Carter  (171)
  Noah Ashford  (348)
  Nora Gorestriker  (131)
  Owen Madden  (223)
  Owen Remington  (151)
  Paisley Ledger  (381)
  Penelope Daughtler  (227)
  Skylar Lightfoot  (256)
  Sophia Truthbelly  (42)
  Sophie Woodgrip  (397)
Student Count 20

501B Phys Ed              Period 4
  Caroline Ashbluff  (332)
  Cooper Carter  (179)
  Cora Beam  (268)
  Elena Moses  (199)
  Elena Poverly  (356)
  Eli Kicklighter  (147)
  Hannah Crawford  (74)
  James Lopez  (34)
  Jonathan Gray  (159)
  Josephine Adair  (401)
  Julian Gasper  (110)
  Leonardo Katz  (437)
  Lucas Dagon  (360)
  Mateo Beckett  (167)
  Mia Humblecut  (22)
  Micah Madison  (66)
  Micah West  (433)
  Nathan Sagespark  (264)
  Weston Hansley  (183)
  Xavier Hendrix  (211)
Student Count 20

501C Phys Ed              Period 1
  Adam Finch  (320)
  Anna Remington  (288)
  Asher Madden  (316)
  Beau Ashford  (247)
  Bennett Sagespark  (231)
  Carter Wixx  (90)
  Chloe Adler  (163)
  Cora Gray  (336)
  Ian Crassus  (272)
  Isabella Windward  (364)
  Julian Jenkins  (389)
  Mason Laurier  (82)
  Mia Gatlin  (352)
  Naomi Mintz  (215)
  Paisley Hope  (308)
  Santiago Ford  (449)
  Skylar Finch  (441)
  Sophie Marley  (421)
  Waylon Remington  (50)
  Willow Crawford  (377)
Student Count 20

501D Phys Ed              Period 7
  Athena Gonzales  (239)
  Aubrey Kicklighter  (477)
  Aurora Spade  (139)
  Axel Adler  (78)
  Bennett Laurier  (417)
  Brooklyn Ellis  (497)
  Brooks Marley  (195)
  Dylan Gorestriker  (393)
  Emery Langley  (300)
  Jackson Ashley  (465)
  John Curran  (368)
  Kennedy Hansley  (493)
  Leo Daughtler  (413)
  Lydia Gasper  (143)
  Madison Gatlin  (38)
  Maria Carter  (54)
  Nora Dagon  (26)
Student Count 17

501E Phys Ed              Period 5
  Aaliyah Adams  (473)
  Aaron Sharpe  (2)
  Adam Lopez  (207)
  Alice Gasper  (46)
  Cameron Dawson  (429)
  Cora Hansley  (187)
  Eleanor Hendrix  (243)
  Ezra Spade  (324)
  Henry Marblemaw  (296)
  Isla Lopez  (276)
  Jayden Beam  (203)
  Lincoln Elrod  (457)
  Maria Cyprus  (469)
  Mia Cassidy  (312)
  Raelynn Caskcut  (191)
  Sophie Amos  (62)
  Theodore Lightfoot  (118)
Student Count 17

501F Phys Ed              Period 2
  Andrew West  (98)
  Benjamin Cyprus  (127)
  Eliana Whitlock  (385)
  Evelyn Madison  (425)
  Ivy Beam  (30)
  Josiah Raven  (70)
  Leah Gray  (102)
  Levi Bardot  (219)
  Naomi Adams  (481)
  Nova Gonzales  (58)
  Penelope Truthbelly  (280)
  Quinn Hayes  (122)
  Santiago Kicklighter  (409)
  Theo Hendrix  (94)
  Walker Sharpe  (155)
  Waylon Biddercombe  (304)
Student Count 16

501G Phys Ed              Period 3
  Andrew Elsher  (260)
  Ayla James  (489)
  Caleb Gray  (445)
  Cora Wilson  (292)
  Daniel Crassus  (340)
  Hudson Bardot  (10)
  Isaiah Oatrun  (328)
  Jackson Truthbelly  (453)
  John Verlice  (106)
  Luca Remington  (344)
  Madelyn Remington  (461)
  Paisley Hope  (485)
  Santiago Thatcher  (6)
  Serenity Carter  (135)
Student Count 14

502A Health               Period 1
  Andrew Elsher  (260)
  Aurora Spade  (139)
  Axel Adler  (78)
  Caroline Ashbluff  (332)
  Cooper Carter  (179)
  Cora Beam  (268)
  Cora Hansley  (187)
  Cora Wilson  (292)
  Eleanor Hendrix  (243)
  Eli Kicklighter  (147)
  Emery Langley  (300)
  Isaiah Oatrun  (328)
  Isla Lopez  (276)
  John Verlice  (106)
  Noah Ashford  (348)
  Quinn Hayes  (122)
  Raelynn Caskcut  (191)
  Serenity Carter  (135)
  Theo Hendrix  (94)
  Xavier Hendrix  (211)
Student Count 20

502B Health               Period 5
  Adam Finch  (320)
  Brooklyn Ellis  (497)
  Brooks Marley  (195)
  Cora Gray  (336)
  Elena Moses  (199)
  Greyson Beam  (252)
  Jack Gonzales  (175)
  Jordan Lopez  (405)
  Leo Daughtler  (413)
  Luca Remington  (344)
  Mia Gatlin  (352)
  Paisley Hope  (485)
  Skylar Finch  (441)
  Willow Crawford  (377)
Student Count 14

502C Health               Period 3
  Aaron Sharpe  (2)
  Alice Gasper  (46)
  Andrew West  (98)
  Colton Ellis  (284)
  Elena Poverly  (356)
  Hannah Crawford  (74)
  John Curran  (368)
  Jonathan Gray  (159)
  Josiah Raven  (70)
  Leah Gray  (102)
  Levi Bardot  (219)
  Liliana Carter  (171)
  Lucas Dagon  (360)
  Madison Gatlin  (38)
  Mia Cassidy  (312)
  Micah Madison  (66)
  Nova Gonzales  (58)
  Penelope Truthbelly  (280)
  Santiago Kicklighter  (409)
  Skylar Lightfoot  (256)
Student Count 20

502D Health               Period 6
  Athena Gonzales  (239)
  Bennett Laurier  (417)
  Caleb Gray  (445)
  Cameron Dawson  (429)
  Carter Wixx  (90)
  Eliana Whitlock  (385)
  Evelyn Madison  (425)
  Ezra Spade  (324)
  Hudson Bardot  (10)
  Ian Crassus  (272)
  James Lopez  (34)
  Lydia Gasper  (143)
  Mia Humblecut  (22)
  Micah West  (433)
  Naomi Mintz  (215)
  Nathan Sagespark  (264)
  Nora Dagon  (26)
  Theodore Lightfoot  (118)
  Walker Sharpe  (155)
  Waylon Remington  (50)
Student Count 20

502E Health               Period 2
  Aaliyah Adams  (473)
  Anthony Adams  (114)
  Asher Madden  (316)
  Aubrey Kicklighter  (477)
  Chloe Adler  (163)
  Daniel Crassus  (340)
  Henry Marblemaw  (296)
  Jackson Ashley  (465)
  Jayden Beam  (203)
  Julian Gasper  (110)
  Madelyn Remington  (461)
  Maria Cyprus  (469)
  Owen Madden  (223)
  Penelope Daughtler  (227)
  Sophia Truthbelly  (42)
  Sophie Marley  (421)
Student Count 16

502F Health               Period 7
  Ayla James  (18)
  Beau Ashford  (247)
  Benjamin Cyprus  (127)
  Hannah Laurier  (86)
  Josephine Adair  (401)
  Julian Jenkins  (389)
  Leonardo Katz  (437)
  Mason Laurier  (82)
  Mateo Beckett  (167)
  Nora Gorestriker  (131)
  Owen Remington  (151)
  Paisley Ledger  (381)
  Santiago Ford  (449)
  Weston Hansley  (183)
Student Count 14

502G Health               Period 4
  Adam Lopez  (207)
  Anna Remington  (288)
  Ayla James  (489)
  Bennett Sagespark  (231)
  Brooks Gasper  (235)
  Dylan Gorestriker  (393)
  Grace James  (372)
  Isabella Windward  (364)
  Ivy Beam  (30)
  Jackson Truthbelly  (453)
  Josiah Biddercombe  (14)
  Kennedy Hansley  (493)
  Lincoln Elrod  (457)
  Maria Carter  (54)
  Naomi Adams  (481)
  Paisley Hope  (308)
  Santiago Thatcher  (6)
  Sophie Amos  (62)
  Sophie Woodgrip  (397)
  Waylon Biddercombe  (304)
Student Count 20

503A Fine Art             Period 3
  Anna Beckett  (341)
  Benjamin Snakeleaf  (478)
  Easton Vespertine  (257)
  Emilia Ashbluff  (373)
  Gabriel Undergrove  (277)
  Genesis Humblecut  (47)
  Grayson Gannon  (490)
  Jack Beckett  (228)
  Julian Undergrove  (180)
  Kennedy Ashbluff  (450)
  Landon Ashbluff  (265)
  Logan Raven  (466)
  Lucas Curran  (426)
  Lydia Dustfinger  (148)
  Maverick Thatcher  (192)
  Nicholas Undergrove  (281)
  Theo Jenkins  (317)
  Valentina Mintz  (269)
  Walker Wixx  (15)
  Zoey Beam  (236)
Student Count 20

503B Fine Art             Period 5
  Adeline Hydrafist  (212)
  Angel Gorestriker  (140)
  Autumn Marblemaw  (410)
  Caleb Gray  (301)
  Caleb Lennon  (422)
  Charlotte Gasper  (208)
  Delilah Crassus  (293)
  Isabella Madison  (418)
  Jordan Keller  (107)
  Joseph Gray  (3)
  Joseph Hansley  (51)
  Luke Gorestriker  (297)
  Madelyn Jenkins  (244)
  Parker Whitlock  (390)
  Savannah Hope  (313)
  Scarlett Dawson  (63)
  William Ashley  (406)
Student Count 17

503C Fine Art             Period 7
  Adrian Lennon  (7)
  Anna Madden  (329)
  Anna Spade  (172)
  Autumn Stoll  (11)
  Bennett Sharpe  (289)
  Isaac Whitlock  (27)
  Isla Gatlin  (382)
  James Curran  (196)
  Jaxon Moses  (349)
  Joseph Stoll  (39)
  Kinsley Truthbelly  (345)
  Leonardo Sagespark  (454)
  Lillian Fleet  (132)
  Lucas Pierce  (321)
  Natalie West  (91)
  Nicholas Lennon  (273)
  Scarlett Cassidy  (442)
  Sophie October  (482)
Student Count 18

503D Fine Art             Period 2
  Brooks Poverly  (357)
  Ella Fellowes  (486)
  Gabriel Ford  (71)
  Grayson Ashbluff  (430)
  Jack Raven  (55)
  Leonardo Ashbluff  (111)
  Lincoln Adams  (353)
  Luna Finch  (23)
  Lydia Undergrove  (95)
  Walker Lightfoot  (115)
Student Count 10

503E Fine Art             Period 6
  Aubrey James  (216)
  Charles Ledger  (261)
  Daniel Jenkins  (414)
  Everett Levine  (83)
  Ian Poverly  (75)
  Jordan Vespertine  (232)
  Joshua Yearwood  (204)
  Maverick Spade  (136)
  Nevaeh Cyprus  (494)
  Nicholas Gatlin  (325)
  Nolan Finch  (119)
  Oliver Gasper  (43)
  Olivia Adler  (99)
  Ryan Poverly  (176)
  Samuel Adair  (333)
  Serenity Ashley  (87)
  Sophie Humblecut  (79)
  Theo Caskcut  (285)
  Waylon Caskcut  (394)
  Zoey Gorestriker  (248)
Student Count 20

503F Fine Art             Period 1
  Aiden Caskcut  (103)
  Audrey Lopez  (386)
  Bella Poverly  (309)
  Caroline Wixx  (361)
  Ella Thatcher  (305)
  Hudson Gonzales  (365)
  Ivy Solace  (144)
  Jackson Laurier  (446)
  Kennedy Yarrow  (498)
  Mateo Jenkins  (200)
  Micah Hansley  (337)
  Michael McKenna  (35)
  Noah Marley  (67)
  Ruby Adler  (402)
  Ryan Elrod  (164)
  Violet Elrod  (369)
  Wesley Cyprus  (462)
  Wyatt Monroe  (31)
  Zoey Hansley  (398)
Student Count 19

503G Fine Art             Period 4
  Adrian Cromwell  (474)
  Anthony Gannon  (128)
  Athena Woodgrip  (168)
  Autumn Yearwood  (59)
  Charles Truthbelly  (458)
  Claire Driscoll  (434)
  Daniel Beckett  (220)
  David Lennon  (123)
  Eleanor Singh  (470)
  Everleigh Gray  (224)
  Maria Caddel  (19)
  Maya Ashbluff  (160)
  Maya James  (188)
  Mia Moses  (438)
  Mila Crassus  (184)
  Nevaeh Hayes  (253)
  Oliver Ashbluff  (240)
  Parker Undergrove  (156)
  Riley Madden  (152)
  Victoria Gorestriker  (378)
Student Count 20

504A Computer             Period 6
  Adrian Lennon  (7)
  Caleb Gray  (301)
  Delilah Crassus  (293)
  Easton Vespertine  (257)
  Emilia Ashbluff  (373)
  Gabriel Undergrove  (277)
  Isabella Madison  (418)
  Jackson Laurier  (446)
  Leonardo Sagespark  (454)
  Lucas Pierce  (321)
  Maria Caddel  (19)
  Nicholas Undergrove  (281)
  Noah Marley  (67)
  Walker Wixx  (15)
  Wesley Cyprus  (462)
  William Ashley  (406)
Student Count 16

504B Computer             Period 1
  Adeline Hydrafist  (212)
  Aubrey James  (216)
  Autumn Yearwood  (59)
  Benjamin Snakeleaf  (478)
  Caleb Lennon  (422)
  Charles Truthbelly  (458)
  Daniel Beckett  (220)
  Everett Levine  (83)
  Gabriel Ford  (71)
  Grayson Gannon  (490)
  Ian Poverly  (75)
  Jordan Keller  (107)
  Lydia Dustfinger  (148)
  Lydia Undergrove  (95)
  Nevaeh Cyprus  (494)
  Nicholas Gatlin  (325)
  Savannah Hope  (313)
  Sophie Humblecut  (79)
  Valentina Mintz  (269)
  Zoey Beam  (236)
Student Count 20

504C Computer             Period 3
  Adrian Cromwell  (474)
  Bennett Sharpe  (289)
  Isla Gatlin  (382)
  Lillian Fleet  (132)
  Luke Gorestriker  (297)
  Mia Moses  (438)
  Micah Hansley  (337)
  Natalie West  (91)
  Nicholas Lennon  (273)
